unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1609918740,2021-01-06 07:39:00,BTC/USD,35038.27,35058.69,35015.73,35018.91,4.60673184,161322.72769909442
1609918680,2021-01-06 07:38:00,BTC/USD,35030.17,35035.03,35000.00,35025.57,1.75465578,61457.8188482946
1609918620,2021-01-06 07:37:00,BTC/USD,35033.10,35057.47,35009.65,35031.92,2.11090804,73949.1615846368
1609918560,2021-01-06 07:36:00,BTC/USD,35054.10,35066.64,35029.42,35029.42,3.28610168,115110.23591142558
1609918500,2021-01-06 07:35:00,BTC/USD,35009.88,35072.78,34990.55,35045.69,3.08836705,108233.9542405145
1609918440,2021-01-06 07:34:00,BTC/USD,35018.03,35018.08,34987.23,35002.34,9.72335595,340340.21090292296
1609918380,2021-01-06 07:33:00,BTC/USD,34999.16,35018.03,34967.00,35018.03,2.64576038,92649.31635965139
1609918320,2021-01-06 07:32:00,BTC/USD,35040.79,35050.42,34945.08,34980.32,5.55059482,194161.5829939424
1609918260,2021-01-06 07:31:00,BTC/USD,35086.38,35096.80,35017.16,35017.16,2.47025895,86501.452893582
1609918200,2021-01-06 07:30:00,BTC/USD,35146.25,35177.04,35060.91,35127.54,13.25778713,465713.44772056025
1609918140,2021-01-06 07:29:00,BTC/USD,35159.70,35190.43,35148.00,35148.00,3.30126380,116032.82004240001
1609918080,2021-01-06 07:28:00,BTC/USD,35100.24,35159.41,35099.97,35153.84,1.90547728,66984.84342475519
1609918020,2021-01-06 07:27:00,BTC/USD,35115.83,35118.87,35068.62,35105.22,3.55484645,124793.666693469
1609917960,2021-01-06 07:26:00,BTC/USD,35056.07,35135.29,35056.07,35121.79,2.50316177,87915.52202196831
1609917900,2021-01-06 07:25:00,BTC/USD,35035.29,35081.63,35011.70,35077.73,6.69457247,234830.40556809312
1609917840,2021-01-06 07:24:00,BTC/USD,35087.09,35087.09,35003.71,35054.82,6.30766469,221114.0503283058
1609917780,2021-01-06 07:23:00,BTC/USD,35066.88,35110.03,35063.34,35083.24,6.31107286,221412.8838048664
1609917720,2021-01-06 07:22:00,BTC/USD,35009.89,35051.84,34970.00,35046.70,11.28445274,395482.829842958
1609917660,2021-01-06 07:21:00,BTC/USD,35072.94,35072.94,35016.21,35016.21,3.96644593,138889.90363852528
1609917600,2021-01-06 07:20:00,BTC/USD,35027.66,35082.17,35027.66,35072.31,7.41567520,260084.859473712
1609917540,2021-01-06 07:19:00,BTC/USD,35040.30,35060.72,35036.18,35040.67,5.90063540,206762.21784171797
1609917480,2021-01-06 07:18:00,BTC/USD,35064.35,35078.97,35031.39,35031.39,4.30990007,150981.7902131973
1609917420,2021-01-06 07:17:00,BTC/USD,35003.89,35079.30,35000.00,35054.87,2.26393289,79361.87314767431
1609917360,2021-01-06 07:16:00,BTC/USD,35111.58,35111.58,35005.02,35005.21,3.42675913,119954.42296506731
1609917300,2021-01-06 07:15:00,BTC/USD,35150.00,35178.36,35023.10,35111.58,36.84258451,1293601.353429626
1609917240,2021-01-06 07:14:00,BTC/USD,35116.40,35188.57,35115.43,35166.92,3.65913837,128680.62632672039
1609917180,2021-01-06 07:13:00,BTC/USD,35182.77,35196.12,35108.82,35134.78,5.41497795,190254.05897810098
1609917120,2021-01-06 07:12:00,BTC/USD,35178.20,35207.39,35168.62,35182.67,4.73020028,166421.0754851476
1609917060,2021-01-06 07:11:00,BTC/USD,35156.59,35199.75,35148.13,35179.63,5.34734904,188117.7607080552
1609917000,2021-01-06 07:10:00,BTC/USD,35123.43,35170.04,35104.50,35170.04,5.62195713,197724.4571403852
1609916940,2021-01-06 07:09:00,BTC/USD,35154.91,35172.38,35113.12,35113.12,11.39089976,399970.03018085123
1609916880,2021-01-06 07:08:00,BTC/USD,35242.92,35242.92,35121.39,35121.39,13.56760180,476513.034182502
1609916820,2021-01-06 07:07:00,BTC/USD,35315.40,35316.42,35242.93,35242.93,6.35763877,224061.81813639612
1609916760,2021-01-06 07:06:00,BTC/USD,35300.02,35326.17,35290.13,35315.40,4.69520956,165813.20369522402
1609916700,2021-01-06 07:05:00,BTC/USD,35327.18,35364.40,35327.18,35329.72,2.18199673,77089.3335118156
1609916640,2021-01-06 07:04:00,BTC/USD,35304.88,35351.80,35272.00,35319.91,2.27271988,80272.2616168108
1609916580,2021-01-06 07:03:00,BTC/USD,35336.43,35344.94,35284.71,35284.71,2.32130675,81906.6354947925
1609916520,2021-01-06 07:02:00,BTC/USD,35347.54,35400.00,35330.25,35363.73,7.88747153,278930.4135696069
1609916460,2021-01-06 07:01:00,BTC/USD,35301.47,35361.68,35301.47,35345.78,0.83847979,29636.722191786197
1609916400,2021-01-06 07:00:00,BTC/USD,35259.06,35307.66,35259.06,35289.08,6.00759073,212002.34987822842
1609916340,2021-01-06 06:59:00,BTC/USD,35315.81,35321.30,35263.47,35282.56,2.57295955,90780.599700448
1609916280,2021-01-06 06:58:00,BTC/USD,35319.75,35366.69,35305.93,35343.55,7.84428752,277244.96817749605
1609916220,2021-01-06 06:57:00,BTC/USD,35253.73,35341.60,35253.73,35313.12,20.23546299,714577.3328214288
1609916160,2021-01-06 06:56:00,BTC/USD,35239.64,35311.13,35230.58,35280.95,10.13041181,357410.55254801945
1609916100,2021-01-06 06:55:00,BTC/USD,35202.21,35272.53,35187.00,35261.25,3.09743855,109219.55507118751
1609916040,2021-01-06 06:54:00,BTC/USD,35239.68,35262.49,35200.00,35200.00,7.00684462,246640.930624
1609915980,2021-01-06 06:53:00,BTC/USD,35181.63,35239.68,35160.66,35239.68,1.59809227,56316.2602052736
1609915920,2021-01-06 06:52:00,BTC/USD,35239.25,35239.25,35169.84,35169.84,1.81441069,63812.533661589594
1609915860,2021-01-06 06:51:00,BTC/USD,35235.35,35239.66,35210.82,35237.27,1.22420868,43137.7717935036
1609915800,2021-01-06 06:50:00,BTC/USD,35238.84,35239.68,35203.26,35235.35,7.37726383,259940.47309239052
1609915740,2021-01-06 06:49:00,BTC/USD,35214.46,35237.92,35203.61,35235.36,4.01928678,141621.0166365408
1609915680,2021-01-06 06:48:00,BTC/USD,35123.14,35239.68,35123.14,35204.21,16.24998204,572067.7802323883
